wav_name,transcription,track,cluster,reference
sys64e2f-utt9c183cd.wav,h aʊ ɛ v ɚ ð ə b æ k l æ ʃ h æ z əl l ɹ ɛ d i b ɪ ɡ ʌ n,main,0,h aʊ ɛ v ɚ ð ə b æ k l æ ʃ h ɐ z ɔː l ɹ ɛ d i b ɪ ɡ ʌ n
sys64e2f-utt369d5fb.wav,n aʊ ð eɪ f eɪ s ɐ ɹ aɪ t w ɪ ŋ ɹ ᵻ v ɪ ʒ ə n,main,1,n aʊ ð eɪ f eɪ s ɐ ɹ aɪ t w ɪ ŋ ɹ ᵻ v ɪ ʒ ə n
sys64e2f-utt169c0fe.wav,h aʊ ɛ v ɚ ð æ ɾ ɔ p t ə m ɪ z ə m n aʊ s iː m z p ɹ ɛ m ə t j ɔːɹ,main,2,h aʊ ɛ v ɚ ð æ t ɑː p t ɪ m ɪ z ə m n aʊ s iː m z p ɹ ɛ m ə tʃ uːɹ
sys64e2f-utt23c3d0f.wav,θ ɹ uː aʊ t ð ɪ æ k t k l oʊ ð z k eɪ m ɔ f,main,3,θ ɹ uː aʊ t ð ɪ æ k t k l oʊ ð z k eɪ m ɔ f
sys64e2f-uttf5fa7ae.wav,h ɜː t ɹ æ n s f ɜː w ʊ d h ə v f ɔːɹ s t ʌ ð ɚ m uː v m ə n t s,main,4,h ɜː t ɹ æ n s f ɜː w ʊ d h æ v f ɔːɹ s t ʌ ð ɚ m uː v m ə n t s
sys64e2f-utt8409fdc.wav,ɪ l ɛ v ə n w ɪ m ɪ n w ɜː aɪ ð ɚ p ɹ ə m oʊ ɾ ᵻ d ɔːɹ m uː v d,main,5,ɪ l ɛ v ə n w ɪ m ɪ n w ɜː aɪ ð ɚ p ɹ ə m oʊ ɾ ᵻ d ɔːɹ m uː v d
sys64e2f-utt4a8a7ea.wav,ð ə ɹ aʊ n z d ɹ ɑː p ɔ n æ n d ɐ ɹ aʊ n d ð ə m,main,6,ð ə ɹ aʊ n z d ɹ ɑː p ɔ n æ n d ɐ ɹ aʊ n d ð ə m
sys64e2f-utt83574cc.wav,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n h eɪ ɡ ə n,main,7,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n h eɪ ɡ ə n
sys64e2f-utta1d91d9.wav,aɪ b ᵻ l iː v ð ə t uː j ɜː s ə s p ɛ n ʃ ə n z ɑːɹ h ɑːɹ ʃ,main,8,aɪ b ᵻ l iː v ð ə t uː j ɪɹ s ə s p ɛ n ʃ ə n z ɑːɹ h ɑːɹ ʃ
sys64e2f-utt9eda11f.wav,aɪ w u d ə n t b iː h j uː m ə n ɪ f aɪ d ɪ d ə n t,main,9,aɪ w ʊ d ə n t b iː h j uː m ə n ɪ f aɪ d ɪ d ə n t
sys64e2f-utt9f34266.wav,h iː w ʌ z t eɪ k ə n ɪ l ɪ n h ɪ z ɑː f ɪ s,main,10,h iː w ʌ z t eɪ k ə n ɪ l ɪ n h ɪ z ɑː f ɪ s
sys64e2f-utt28a12f4.wav,ɪ ɾ ɪ z t aɪ m t ə tʃ eɪ n dʒ aʊ ɹ ɐ p ɹ oʊ tʃ,main,11,ɪ ɾ ɪ z t aɪ m t ə tʃ eɪ n dʒ aʊ ɹ ɐ p ɹ oʊ tʃ
sys64e2f-utt0255e06.wav,f ɔːɹ m ɪ z h ɛ n d ɚ s ə n ð ɪ ɪ ʃ uː z ɑːɹ f ɑːɹ ɹ iː tʃ ɪ ŋ,main,12,f ɔː m ɪ s h ɛ n d ɚ s ə n ð ɪ ɪ ʃ uː z ɑːɹ f ɑːɹ ɹ iː tʃ ɪ ŋ
sys64e2f-utt150ab83.wav,aɪ n ɛ v ɚ ɡ ɹ oʊ t aɪ d ʌ v w ɔ tʃ ɪ ŋ k æ p t ə n w ɛ s t,main,13,aɪ n ɛ v ɚ ɡ ɹ oʊ t aɪ d ʌ v w ɔ tʃ ɪ ŋ k æ p t ɪ n w ɛ s t
sys64e2f-uttd0bf6ab.wav,ɐ ɡ ɹ eɪ t l iː p b ɹ ɪ ŋ z h ɪ m iː v ə n w ɪ ð l ɐ b ɛ l,main,14,ɐ ɡ ɹ eɪ t l iː p b ɹ ɪ ŋ z h ɪ m iː v ə n w ɪ ð l æ b ɛ l
sys64e2f-utt791b073.wav,b ɪ l i k ə d h ɛ l p s æ k s ə m l ɪ t əl ɪ n h ɜː t ɹ ʌ b əl,main,15,b ɪ l i k ʊ d h ɛ l p s æ k s ə n l ɪ ɾ əl ɪ n h ɜː t ɹ ʌ b əl
sys64e2f-utt8704b4e.wav,m ɪ s t ɚ d ɛ n m ə n ʃ ʊ k k æ m ɹ ə n w oːɹ m l i b aɪ ð ə h æ n d,main,16,m ɪ s t ɚ d ɛ n m ə n ʃ ʊ k k æ m ɚ ɹ ə n w ɔːɹ m l i b aɪ ð ə h æ n d
sys64e2f-utte68dd24.wav,ð ɪ ɑː l ɪ ɡ ɑːɹ k i w ɔ n t ᵻ d ð ə w ɔːɹ w ɪ ð dʒ ɜː m ə n i,main,17,ð ɪ ɑː l ɪ ɡ ɑːɹ k i w ʌ n t ᵻ d ð ə w ɔːɹ w ɪ ð dʒ ɜː m ə n i
sys64e2f-utt953ecdf.wav,æ n d ð ɛ n aɪ ɡ ɑː ɾ ɐ s ɑː m p əl l ʌ v m ʌ l ɪ ɡ ə n dʒ eɪ k ə b z,main,18,æ n d ð ɛ n aɪ ɡ ɔ ɾ ɐ s ɑː m p əl l ʌ v m æ l ɪ ɡ ə n dʒ eɪ k ə b z
sys64e2f-utt86e05bb.wav,ɐ b aʊ t h ɪ m h iː n uː w ʌ z ð ə b ɪ ɡ ɐ d v ɛ n tʃ ɚ,main,19,ɐ b aʊ t h ɪ m h iː n uː w ʌ z ð ə b ɪ ɡ ɐ d v ɛ n tʃ ɚ
sys64e2f-utt0d0acc1.wav,ɪ n ɐ n ʌ ð ɚ ɪ n s t ə n t h iː h ɐ d f l æ t ə n d h ɪ m s ɛ l f ɐ ɡ ɛ n s t ɪ t,main,20,ɪ n ɐ n ʌ ð ɚ ɹ ɪ n s t ə n t h iː h ɐ d f l æ t ə n d h ɪ m s ɛ l f ɐ ɡ ɛ n s t ɪ t
sys64e2f-utt334e4b8.wav,aɪ k ə n ɡ ɪ v j uː s ɪ k s d ɑː l ɚ z ɐ p iː s f ɔːɹ ð ə m,main,21,aɪ k ə n ɡ ɪ v j uː s ɪ k s d ɑː l ɚ z ɐ p iː s f ɚ ð ə m
sys64e2f-utt79b13c0.wav,t eɪ k ɐ n ɛ k s t ɹ ə h ɔːɹ s f ɚ h ɪ m t ə ɹ aɪ d,main,22,t eɪ k ɐ n ɛ k s t ɹ ə h ɔːɹ s f ɚ h ɪ m t ə ɹ aɪ d
sys64e2f-utt97af887.wav,h iː h æ d n aɪ ð ɚ w ɪ p n ɔːɹ k l ʌ b n ɔːɹ w ɛ p ə n,main,23,h iː h æ d n aɪ ð ɚ w ɪ p n ɔːɹ k l ʌ b n ɔːɹ w ɛ p ə n
sys64e2f-utt66a0e15.wav,w ʌ n aɪ ɐ p ɹ oʊ tʃ t k ɛ f ə l i b ə t h oʊ p l ə s l i,main,24,w ʌ n aɪ ɐ p ɹ oʊ tʃ t k æ f ə l i b ʌ t h oʊ p l ə s l i
sys64e2f-uttd717d91.wav,ʃ iː w ʌ z k ʌ m ɪ ŋ h oʊ m f ɹ ʌ m j oʊ ɹ ə p æ n d ʌ ð ɚ p l eɪ s ᵻ z,main,25,ʃ iː w ʌ z k ʌ m ɪ ŋ h oʊ m f ɹ ʌ m j oː ɹ ə p æ n d ʌ ð ɚ p l eɪ s ᵻ z
sys64e2f-uttf2c2e6f.wav,ɪ f oʊ n l i ɜː n ɪ s t w ɜː h ɪ,main,26,ɪ f oʊ n l i ɜː n ɪ s t w ɜː h ɪ
sys7ab3c-uttce1d077.wav,h aʊ ɛ v ɚ ð ə b æ k l æ ʃ h æ z ɔː l ɹ ɛ d i b ɪ ɡ ʌ n,main,0,h aʊ ɛ v ɚ ð ə b æ k l æ ʃ h ɐ z ɔː l ɹ ɛ d i b ɪ ɡ ʌ n
sys7ab3c-utt6db38d6.wav,n aʊ ð eɪ f eɪ s eɪ ɹ aɪ t w ɪ ŋ ɹ ɪ v ɪ ʒ ə n,main,1,n aʊ ð eɪ f eɪ s ɐ ɹ aɪ t w ɪ ŋ ɹ ᵻ v ɪ ʒ ə n
sys7ab3c-utt925e844.wav,h aʊ ɛ v ɚ ð æ t ɑː p t ə m ɪ z ə m n aʊ s iː m z p ɹ eɪ m ə t,main,2,h aʊ ɛ v ɚ ð æ t ɑː p t ɪ m ɪ z ə m n aʊ s iː m z p ɹ ɛ m ə tʃ uːɹ
sys7ab3c-utt3fff550.wav,h iː w ʌ z ɐ w ɔːɹ d ᵻ d ð æ t p l ʌ s ɛ k s p ɛ n s ᵻ z,main,27,h iː w ʌ z ɐ w ɔːɹ d ᵻ d ð æ t p l ʌ s ɛ k s p ɛ n s ᵻ z
sys7ab3c-utt7f5a5de.wav,θ ɹ uː aʊ t ð ɪ æ k t k l oʊ d ð z k eɪ m ɔ f,main,3,θ ɹ uː aʊ t ð ɪ æ k t k l oʊ ð z k eɪ m ɔ f
sys7ab3c-utt40cf951.wav,w ɛ ɹ ɛ v ɚ ɹ aɪ w ɛ n t ð eɪ w ʊ d ɡ oʊ,main,28,w ɛ ɹ ɛ v ɚ ɹ aɪ w ɛ n t ð eɪ w ʊ d ɡ oʊ
sys7ab3c-utt6e1b06c.wav,ɪ t d ɪ d n ʌ θ ɪ ŋ t ə k iː p ʌ s s eɪ f,main,29,ɪ t d ɪ d n ʌ θ ɪ ŋ t ə k iː p ʌ s s eɪ f
sys7ab3c-utte98ff28.wav,ɪ l ɛ v ə n w ɪ m ɪ n w ɜː aɪ ð ɚ p ɹ ə m oʊ ɾ ᵻ d ɔːɹ m uː v d,main,5,ɪ l ɛ v ə n w ɪ m ɪ n w ɜː aɪ ð ɚ p ɹ ə m oʊ ɾ ᵻ d ɔːɹ m uː v d
sys7ab3c-uttd0fb8c5.wav,ð ə ɹ æ n s d ɹ ɑː p ɔ n æ n d ə ɹ aʊ n d ð ɛ m,main,6,ð ə ɹ aʊ n z d ɹ ɑː p ɔ n æ n d ɐ ɹ aʊ n d ð ə m
sys7ab3c-utte7e1490.wav,ð ɛ ɹ v s p ɛ ʃ əl l aɪ z d s t ɑː f ɔ n s aɪ t n aʊ,main,30,ð ɛ ɹ ɑːɹ s p ɛ ʃ əl l aɪ z d s t ɑː f ɔ n s aɪ t n aʊ
sys7ab3c-utt2e7ddd8.wav,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n eɪ ɡ ə n,main,7,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n h eɪ ɡ ə n
sys7ab3c-uttd8effb4.wav,aɪ b ᵻ l iː v ð ə t uː j ɪɹ s ə s p ɛ n ʃ ə n z ɑːɹ h ɑːɹ ʃ,main,8,aɪ b ᵻ l iː v ð ə t uː j ɪɹ s ə s p ɛ n ʃ ə n z ɑːɹ h ɑːɹ ʃ
sys7ab3c-utt61eee43.wav,aɪ w ʊ d ə n t b iː h j uː m ə n ɪ f aɪ d ɪ d ə n t,main,9,aɪ w ʊ d ə n t b iː h j uː m ə n ɪ f aɪ d ɪ d ə n t
sys7ab3c-utt693d162.wav,h iː w ʌ z t eɪ k ə n ɪ l ɪ n h ɪ z ɑː f ɪ s,main,10,h iː w ʌ z t eɪ k ə n ɪ l ɪ n h ɪ z ɑː f ɪ s
sys7ab3c-utt4c55f24.wav,æ f oʊ n k oː l m eɪ d ɪ t oʊ l w ɜː θ w aɪ l,main,31,ɐ f oʊ n k oʊ l m eɪ d ɪ t ɔː l w ɜː θ w aɪ l
sys7ab3c-utt97bd636.wav,f ə m ɪ s h ɛ n d ɚ s ə n ð ɪ ɪ ʃ uː z ɑːɹ f ɑːɹ ɹ iː tʃ ɪ ŋ,main,12,f ɔː m ɪ s h ɛ n d ɚ s ə n ð ɪ ɪ ʃ uː z ɑːɹ f ɑːɹ ɹ iː tʃ ɪ ŋ
sys7ab3c-utt340f244.wav,ɡ ɹ ɛ ɡ s ə n h æ d l ɪ s ə n d l aɪ k w ʌ n æ n d ɹ eɪ s p ɛ l,main,32,ɡ ɹ ɛ ɡ s ə n h æ d l ɪ s ə n d l aɪ k w ʌ n ʌ n d ɚ ɹ ɐ s p ɛ l
sys7ab3c-utt8afe791.wav,h iː w ʌ z p ʌ z əl l d b aɪ ð ə s l oʊ n ə s ʌ v ɪ t s p ɹ oʊ ɡ ɹ ɛ s,main,33,h iː w ʌ z p ʌ z əl d b aɪ ð ə s l oʊ n ə s ʌ v ɪ t s p ɹ oʊ ɡ ɹ ɛ s
sys7ab3c-utt3dd4900.wav,aɪ n ɛ v ɚ ɡ ɹ oʊ t aɪ d ʌ v w ɔ tʃ ɪ ŋ k æ p t ɪ n w ɛ s t,main,13,aɪ n ɛ v ɚ ɡ ɹ oʊ t aɪ d ʌ v w ɔ tʃ ɪ ŋ k æ p t ɪ n w ɛ s t
sys7ab3c-uttb353f1c.wav,ɛ ɹ i ɡ ɹ eɪ t l iː p b ɹ ɪ ŋ z h ɪ m iː v ə n w ɪ ð l æ b ɛ l,main,14,ɐ ɡ ɹ eɪ t l iː p b ɹ ɪ ŋ z h ɪ m iː v ə n w ɪ ð l æ b ɛ l
sys7ab3c-utt2a660c5.wav,ð ɪ ɑː l ɪ ɡ ɑːɹ k i w ʌ n t ᵻ d ð ə w ɔːɹ w ɪ ð dʒ ɜː m ə n i,main,17,ð ɪ ɑː l ɪ ɡ ɑːɹ k i w ʌ n t ᵻ d ð ə w ɔːɹ w ɪ ð dʒ ɜː m ə n i
sys7ab3c-utt49666e9.wav,æ n d ð ɛ n aɪ ɡ ɔ t aɪ s ɑː m p əl l ʌ v m ʌ l ɪ ɡ ə n dʒ ɛ ɪ k l ʌ p s,main,18,æ n d ð ɛ n aɪ ɡ ɔ ɾ ɐ s ɑː m p əl l ʌ v m æ l ɪ ɡ ə n dʒ eɪ k ə b z
sys7ab3c-uttf7fc859.wav,ɪ n ʌ ð ɚ l æ n d z ɔː l ɐ m ɛ ɹ ɪ k ə n z ɑːɹ k ɔː l d j æ ŋ k i z,main,34,ɪ n ʌ ð ɚ l æ n d z ɔː l ɐ m ɛ ɹ ɪ k ə n z ɑːɹ k ɔː l d j æ ŋ k i z
sys7ab3c-uttf4a787e.wav,ɐ b aʊ t h ɪ m h iː n uː w ʌ z ð ə b ɪ ɡ æ d v ɛ n tʃ ɚ,main,19,ɐ b aʊ t h ɪ m h iː n uː w ʌ z ð ə b ɪ ɡ ɐ d v ɛ n tʃ ɚ
sys7ab3c-uttde61834.wav,aɪ k æ n ɡ ɪ v j uː s ɪ k s d ɔ l ɚ z ɐ p iː s f ɚ ð ɛ m,main,21,aɪ k ə n ɡ ɪ v j uː s ɪ k s d ɑː l ɚ z ɐ p iː s f ɚ ð ə m
sys7ab3c-utt4d3922b.wav,t eɪ k æ n ɛ k s t ɚ ʌ v ɐ h ɔːɹ s f ɚ h ɪ m t ə ɹ aɪ d,main,22,t eɪ k ɐ n ɛ k s t ɹ ə h ɔːɹ s f ɚ h ɪ m t ə ɹ aɪ d
sys7ab3c-uttc7b71e2.wav,h iː h æ d n aɪ ð ɚ w ɪ p n ɔːɹ k l ʌ b n ɔːɹ w ɛ p ə n,main,23,h iː h æ d n aɪ ð ɚ w ɪ p n ɔːɹ k l ʌ b n ɔːɹ w ɛ p ə n
sys7ab3c-uttab46c23.wav,w ʌ n aɪ ɐ p ɹ oʊ tʃ t k æ f əl l i b ʌ t h oʊ p l ə s l i,main,24,w ʌ n aɪ ɐ p ɹ oʊ tʃ t k æ f ə l i b ʌ t h oʊ p l ə s l i
sys7ab3c-utt0b5f98d.wav,ʃ iː w ʌ z k ʌ m ɪ ŋ h oʊ m f ɹ ʌ m j ɜː ɹ ə p æ n d ʌ ð ɚ p l eɪ s ᵻ z,main,25,ʃ iː w ʌ z k ʌ m ɪ ŋ h oʊ m f ɹ ʌ m j oː ɹ ə p æ n d ʌ ð ɚ p l eɪ s ᵻ z
sys7ab3c-utt7046c9d.wav,ð ɪ ʌ ð ɚ ɡ aɪ h iː p ɑː s t oʊ v ɚ t ə ɹ ɛ d b ɪ l,main,35,ð ɪ ʌ ð ɚ ɡ aɪ h iː p ɑː s t oʊ v ɚ t ə ɹ ɛ d b ɪ l
sys2e1cb-utt43d0b94.wav,n aʊ ð eɪ f eɪ s ɐ ɹ aɪ t w ɪ ŋ ɹ ᵻ v ɪ ʒ ə n,main,1,n aʊ ð eɪ f eɪ s ɐ ɹ aɪ t w ɪ ŋ ɹ ᵻ v ɪ ʒ ə n
sys2e1cb-uttfbc186a.wav,h aʊ ɛ v ɚ ð æ t ɑː p t ɪ m ɪ z ə m n aʊ s iː m z p ɹ ɛ m ə tʃ ɔːɹ,main,2,h aʊ ɛ v ɚ ð æ t ɑː p t ɪ m ɪ z ə m n aʊ s iː m z p ɹ ɛ m ə tʃ uːɹ
sys2e1cb-uttda18f1e.wav,h iː w ʌ z ɐ w ɔːɹ d ᵻ d ð ə k l æ s ɛ k s p ɛ n s ᵻ z,main,27,h iː w ʌ z ɐ w ɔːɹ d ᵻ d ð æ t p l ʌ s ɛ k s p ɛ n s ᵻ z
sys2e1cb-utt0e4bbad.wav,θ ɹ uː aʊ t ð ə æ k t k l oʊ ð z k eɪ m ɔ f,main,3,θ ɹ uː aʊ t ð ɪ æ k t k l oʊ ð z k eɪ m ɔ f
sys2e1cb-utt8479256.wav,w ɛ ɹ ɛ v ɚ ɹ aɪ w ɛ n t ð eɪ w ʊ d ɡ oʊ,main,28,w ɛ ɹ ɛ v ɚ ɹ aɪ w ɛ n t ð eɪ w ʊ d ɡ oʊ
sys2e1cb-utt177dc7b.wav,ɪ t d ɪ d n ʌ θ ɪ ŋ t ə k iː p ʌ s s eɪ f,main,29,ɪ t d ɪ d n ʌ θ ɪ ŋ t ə k iː p ʌ s s eɪ f
sys2e1cb-utt204e49a.wav,h ɚ t ɹ æ n s f ɜː w ʊ d h æ v f ɔːɹ s t ʌ ð ɚ m uː v m ə n t s,main,4,h ɜː t ɹ æ n s f ɜː w ʊ d h æ v f ɔːɹ s t ʌ ð ɚ m uː v m ə n t s
sys2e1cb-utt4ff827f.wav,ð ə ɹ aʊ n d z d ɹ ɑː p ɔ n æ n d ɐ ɹ aʊ n d ð ə m,main,6,ð ə ɹ aʊ n z d ɹ ɑː p ɔ n æ n d ɐ ɹ aʊ n d ð ə m
sys2e1cb-utt677b742.wav,ð ɛ ɹ ɚ s p ɛ ʃ əl l aɪ z d s t ɑː f ɔ n s aɪ t n aʊ,main,30,ð ɛ ɹ ɑːɹ s p ɛ ʃ əl l aɪ z d s t ɑː f ɔ n s aɪ t n aʊ
sys2e1cb-utt6d6a469.wav,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n h eɪ ɡ ə n,main,7,ð ə b l ʌ d ʃ ɛ d w ʌ z n ɑː t k ə n f aɪ n d t ə k oʊ p ə n h eɪ ɡ ə n
